[2015/01/13 18:20:25] 設備名:ADAM-6017-NaOH-T2, IP:192.168.100.198, 斷線
[2015/01/13 18:20:25] 設備名:ADAM-6017-NaOH-T1, IP:192.168.100.199, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-2EH-F1, IP:192.168.100.187, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-VCM-F3, IP:192.168.100.184, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-VCM-F2, IP:192.168.100.185, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-HDPE-F1, IP:192.168.100.189, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-NBA-F1, IP:192.168.100.188, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-VCM-F4, IP:192.168.100.183, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-OL2-F1, IP:192.168.100.190, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-VCM-F5, IP:192.168.100.182, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-VCM-F1, IP:192.168.100.186, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-VCM-F6, IP:192.168.100.181, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-ECH-F2, IP:192.168.100.194, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6017-NaOH-T4, IP:192.168.100.196, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6017-NaOH-T3, IP:192.168.100.197, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-ECH-F1, IP:192.168.100.195, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-H2O2-F1, IP:192.168.100.191, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-PC-F1, IP:192.168.100.193, 斷線
[2015/01/13 18:20:27] 設備名:ADAM-6024-PC-F2, IP:192.168.100.192, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-PC-F1, IP:192.168.100.193, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-PC-F2, IP:192.168.100.192, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-OL2-F1, IP:192.168.100.190, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-ECH-F2, IP:192.168.100.194, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6017-NaOH-T1, IP:192.168.100.199, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6017-NaOH-T3, IP:192.168.100.197, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-VCM-F3, IP:192.168.100.184, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-VCM-F4, IP:192.168.100.183, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-VCM-F5, IP:192.168.100.182, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6017-NaOH-T2, IP:192.168.100.198, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6017-NaOH-T2, IP:192.168.100.198, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-VCM-F1, IP:192.168.100.186, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-VCM-F2, IP:192.168.100.185, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6017-NaOH-T1, IP:192.168.100.199, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6017-NaOH-T4, IP:192.168.100.196, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-ECH-F1, IP:192.168.100.195, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6017-NaOH-T3, IP:192.168.100.197, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-H2O2-F1, IP:192.168.100.191, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-OL2-F1, IP:192.168.100.190, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-VCM-F1, IP:192.168.100.186, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-PC-F2, IP:192.168.100.192, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-H2O2-F1, IP:192.168.100.191, 斷線
[2015/01/13 18:28:55] 設備名:ADAM-6024-VCM-F2, IP:192.168.100.185, 斷線
